Gen,Fitness,KP_BALANCE,KD_BALANCE,KP_FORWARD,KD_FORWARD,KP_TURNING,KD_TURNING,IMPULSE_DURATION_SEC,IMPULSE_MAGNITUDE,TURNING_SPEED,KP_RECOVERY,KD_RECOVERY,KP_POSITION,TARGET_TILT,RECOVERY_THRESHOLD,LERP_ALPHA,KI_BALANCE
0,2595.7474904447618,444.91277964947005,17.105784700755414,106.81310325685006,20.16359772769838,50.896826915582025,36.701949984748026,0.18274860789480268,2.9925231566230828,0.6641145699761033,581.2523649022656,29.026189283296958,0.45890040506663377,-0.020122891403186405,0.037633498267023294,0.22421826528734828,0.06809819080094132
1,2763.2175991197137,178.20333587642511,4.312204896508768,96.33678975012684,22.97609223513127,121.85084117804125,32.7095041376089,0.3118540466550113,1.1725777145358882,1.1058304324466133,800.0,56.367733713210114,0.1,-0.03639236030323691,0.11926092678797341,0.5265406994562907,1.3451828047118606
2,3146.0043140340736,174.71324837296004,6.7988440803350105,92.66740953890437,25.30532292934212,84.74919965160204,32.13022058315965,0.6779850870738652,-0.3252261545414492,0.6416993219883567,708.4780159916896,50.874991471612596,0.1,-0.07574285894111463,0.11475466780977717,0.5541315461090289,1.108025553964585
3,3140.9566161973253,174.71324837296004,6.7988440803350105,92.66740953890437,25.30532292934212,84.74919965160204,32.13022058315965,0.6779850870738652,-0.3252261545414492,0.6416993219883567,708.4780159916896,50.874991471612596,0.1,-0.07574285894111463,0.11475466780977717,0.5541315461090289,1.108025553964585
4,3227.7506273588756,174.71324837296004,6.7988440803350105,92.66740953890437,25.30532292934212,84.74919965160204,32.13022058315965,0.6779850870738652,-0.3252261545414492,0.6416993219883567,708.4780159916896,50.874991471612596,0.1,-0.07574285894111463,0.11475466780977717,0.5541315461090289,1.4582439501939628
5,3227.4405540817215,174.71324837296004,6.7988440803350105,92.66740953890437,25.30532292934212,84.74919965160204,32.13022058315965,0.6779850870738652,-0.3252261545414492,0.6416993219883567,708.4780159916896,50.874991471612596,0.1,-0.07574285894111463,0.11475466780977717,0.5541315461090289,1.4582439501939628
6,3227.295062256578,174.71324837296004,6.7988440803350105,92.66740953890437,25.30532292934212,84.74919965160204,32.13022058315965,0.6779850870738652,-0.3252261545414492,0.6416993219883567,708.4780159916896,50.874991471612596,0.1,-0.07574285894111463,0.11475466780977717,0.5541315461090289,1.4582439501939628
7,3228.669071613473,57.041900224290416,6.144295893914092,82.50522408640713,28.35174465547122,87.40284004558627,34.88364711238797,0.4516438025243722,-0.6650617066103267,0.5114506197706676,736.1160984747372,75.6990127309743,0.1,-0.07613945986378527,0.10594708624538333,0.5622443250825786,1.412726658133382
8,3266.8091364892944,102.46049329820815,5.695390187900449,87.22229604780128,24.59683543089289,88.47541386810286,35.930898097525265,0.39749608119941715,-0.675597293439396,0.6196950315037894,732.4347658360026,69.29185780437143,0.14352913657273747,-0.06623571875626252,0.12,0.5772012114033085,0.8380982973356442
9,3362.849853799649,158.80490250864636,6.110058228746343,86.958037809435,29.41330826654795,96.25745342724004,34.519599832894876,0.3643049974855681,-0.5920995048599543,0.5186407623475328,702.7236240923747,36.354299221158286,0.10135140663883811,-0.07808122168101077,0.11416231120789302,0.4980450710497563,0.2514563927932577
10,3384.2259887882947,158.80490250864636,6.110058228746343,86.958037809435,29.41330826654795,96.25745342724004,34.519599832894876,0.3643049974855681,-0.5920995048599543,0.5186407623475328,702.7236240923747,36.354299221158286,0.10135140663883811,-0.07808122168101077,0.11416231120789302,0.4980450710497563,0.2514563927932577
