Gen,Best_Fitness,Avg_Fitness,KP_BALANCE,KD_BALANCE,KP_FORWARD,KD_FORWARD,KP_TURNING,KD_TURNING,IMPULSE_DURATION_SEC,IMPULSE_MAGNITUDE,TURNING_SPEED,KP_RECOVERY,KD_RECOVERY,KP_POSITION,TARGET_TILT,RECOVERY_THRESHOLD,LERP_ALPHA,KI_BALANCE
0,503.2649646804405,385.7744066885673,57.38504691692995,0.2283516270497504,49.974064249208155,2.4955124460329046,58.65650988190525,0.07030715554082478,0.772832959353657,2.5147584887102257,3.2129359613951403,33.1183255867752,4.344236146088168,0.9457813033226625,-0.11557662220294793,0.09973048182470978,0.4342972679009522,10.10585725012508
1,487.5952794863494,384.8860281430526,49.03942228247268,2.0111327141266004,32.22755012502202,2.064887884537298,23.676527210947302,2.363975098748545,0.16279893023177133,-4.886653069257031,4.48890146886213,36.6244093126085,4.856977150073709,1.0865281694345823,-0.09621099827671599,0.13047767228611123,0.6513222686870875,9.673923094706709
2,501.63112415388866,392.0307026435707,60.0,2.1371774095203695,48.99220728653007,2.5,60.0,0.9007125010776114,1.0,2.488561273934706,3.016790879701185,35.38547473975756,2.2779564591854333,0.5253698414193158,-0.12922636080186287,0.02,0.5070514193954239,13.496597237422446
3,507.32832134604115,401.06302933289567,49.135514122637666,0.0,44.521148068525164,2.5,53.4301910540067,0.9429478170082101,0.1,-1.4763262929262493,4.149994703418864,35.494387015672935,4.767582909099813,0.5539848616381934,-0.14345882820519887,0.04265986937224731,0.5524634710153173,9.991813278345502
4,505.6156161825664,416.25575595411414,36.06111949689505,0.02387428312897274,48.59600480345249,2.313134864261842,24.311873334274146,0.05369642152427662,0.985909543495689,-0.6867852662990563,3.336788605969735,30.622853091579234,2.099581460970466,0.8008451123332927,-0.11903333399938312,0.08393742210161621,0.3495453658908841,8.905907984360619
5,494.44120935992765,409.0783133779237,29.912652897439994,0.23978771857506498,60.0,1.085116950249364,60.0,1.6158598458324305,0.1405327798065276,0.22530732164675235,3.8398130910377875,39.672762038855204,3.099899451327109,0.7493761850181757,-0.1202365630043569,0.02,0.38876493747610885,8.46592725625917
6,505.66745816950765,414.98980776569135,44.26260136002914,0.20651891625987073,46.380152154998555,2.3880845954595116,40.64224676614702,0.1931969830476124,0.6846515000482134,-1.0322704704407362,3.287502919220852,25.846060711785945,3.865674948662918,0.7781919595915335,-0.14208086799674202,0.03636675923974256,0.689164024079564,9.54195600445726
7,515.1111384192591,415.451409866744,41.88744241788276,0.20643773854069808,52.70972746092144,2.5,5.0,0.9624579954702965,0.8454234770738163,-4.499306702292964,5.0,27.915193447288097,0.3808478936771448,0.8376153045450537,-0.1272786771630735,0.02,0.8,7.473778302063764
8,515.64935413048,423.98090825063633,41.88744241788276,0.20643773854069808,52.70972746092144,2.5,5.0,0.9624579954702965,0.8454234770738163,-4.499306702292964,5.0,27.915193447288097,0.3808478936771448,0.8376153045450537,-0.1272786771630735,0.02,0.8,7.473778302063764
9,513.7235657137505,424.5868424835997,53.48335532089762,0.12661890940244447,44.158561378047736,2.4963111264346454,40.01606260023205,0.4285670898710148,0.383113248935868,-4.764034328745,5.0,47.32641342008455,0.7902917432290418,0.9547139402137059,-0.14438900998324022,0.027149087772170354,0.8,8.638193379840251
